ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
213908_at	2.47e-05	2.87e-06	5.6869982	4.16852	7.79e-01	WHAMMP2///WHAMMP3	WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2///WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 3
202037_s_at	2.47e-05	2.87e-06	5.6868472	4.16809	1.50	SFRP1	secreted frizzled related protein 1
218188_s_at	2.47e-05	2.88e-06	-5.6859161	4.16543	-1.28	TIMM13	translocase of inner mitochondrial membrane 13
203979_at	2.48e-05	2.89e-06	5.684428	4.16117	1.07	CYP27A1	cytochrome P450 family 27 subfamily A member 1
204710_s_at	2.49e-05	2.90e-06	-5.6828643	4.1567	-8.16e-01	WIPI2	WD repeat domain, phosphoinositide interacting 2
212557_at	2.51e-05	2.92e-06	5.6805332	4.15003	9.15e-01	ZNF451	zinc finger protein 451
218633_x_at	2.51e-05	2.92e-06	5.6804188	4.14971	1.45	ABHD10	abhydrolase domain containing 10
217841_s_at	2.51e-05	2.93e-06	5.6799271	4.1483	6.47e-01	PPME1	protein phosphatase methylesterase 1
214293_at	2.51e-05	2.93e-06	5.679551	4.14723	1.59	SEPT11	septin 11
206723_s_at	2.52e-05	2.94e-06	5.6788396	4.14519	1.20	LPAR2	lysophosphatidic acid receptor 2
202098_s_at	2.53e-05	2.95e-06	5.6771289	4.1403	8.31e-01	PRMT2	protein arginine methyltransferase 2
218673_s_at	2.53e-05	2.96e-06	-5.6762786	4.13787	-9.29e-01	ATG7	autophagy related 7
219396_s_at	2.53e-05	2.96e-06	5.6759258	4.13686	1.70	MIR631///NEIL1	microRNA 631///nei like DNA glycosylase 1
222352_at	2.57e-05	3.00e-06	5.6711753	4.12327	9.79e-01	FBXO31	F-box protein 31
201380_at	2.57e-05	3.01e-06	5.6701277	4.12028	1.16	CRTAP	cartilage associated protein
213137_s_at	2.57e-05	3.01e-06	-5.6700716	4.12012	-9.47e-01	PTPN2	protein tyrosine phosphatase, non-receptor type 2
212009_s_at	2.57e-05	3.02e-06	-5.6697633	4.11923	-2.15	STIP1	stress induced phosphoprotein 1
213348_at	2.58e-05	3.02e-06	5.6690443	4.11718	1.40	CDKN1C	cyclin dependent kinase inhibitor 1C
217719_at	2.58e-05	3.03e-06	5.6683939	4.11532	6.58e-01	EIF3L	eukaryotic translation initiation factor 3 subunit L
218434_s_at	2.58e-05	3.03e-06	5.6683776	4.11527	1.10	AACS	acetoacetyl-CoA synthetase
